日期,权益,现金,持仓市值,等级,评分,板块,持仓数
2026-01-05,1000000,1000000,0,S,95,商业航天,0
2026-01-06,1000000,1000000,0,S,100,商业航天,0
2026-01-07,1000000,1000000,0,S,100,商业航天,0
2026-01-08,1000000,1000000,0,S,79,商业航天,0
2026-01-09,1000000,1000000,0,S,100,商业航天,0
2026-01-12,1000000,1000000,0,S,100,商业航天,0
2026-01-13,1000000,1000000,0,S,100,人工智能,0
2026-01-14,1000000,1000000,0,B,48,人工智能,0
2026-01-15,1000000,1000000,0,C,41,人工智能,0
2026-01-16,1000000,1000000,0,A,71,芯片,0
2026-01-19,1000000,1000000,0,S,77,芯片,0
2026-01-20,1000000,1000000,0,C,43,芯片,0
2026-01-21,1000000,1000000,0,S,81,芯片,0
2026-01-22,1000000,1000000,0,B,56,芯片,0
2026-01-23,1000000,1000000,0,A,70,芯片,0
2026-01-26,1000000,1000000,0,S,75,化工,0
2026-01-27,1000000,1000000,0,B,48,芯片,0
2026-01-28,1000000,1000000,0,C,34,化工,0
2026-01-29,1000000,1000000,0,D,26,化工,0
2026-01-30,1000000,1000000,0,D,16,化工,0
2026-02-02,1000000,1000000,0,D,0,机器人,0
2026-02-03,1000000,1000000,0,D,28,通信,0
2026-02-04,1000000,1000000,0,B,46,光伏,0
2026-02-05,1000000,1000000,0,A,73,基础建设,0
2026-02-06,1000000,1000000,0,A,64,化工,0
2026-02-09,1000000,1000000,0,A,65,化工,0
2026-02-10,1000000.0,673762.0,326238.0,S,90,化工,2
2026-02-11,1010395.0,506448.0,503947.0,A,63,化工,3
2026-02-12,1012335.0,506448.0,505887.0,D,29,化工,3
2026-02-13,1007101.0,506448.0,500653.0,A,67,化工,3
2026-02-24,1001901.0,1001901.0,0,B,52,化工,0
2026-02-25,1001901.0,671403.0,330498.0,A,68,化工,2
2026-02-26,1012420.0,340353.0,672067.0,S,83,化工,4
2026-02-27,1011205.0,340353.0,670852.0,A,73,化工,4
2026-03-02,1012487.0,340353.0,672134.0,A,64,化工,4
2026-03-03,1005519.0,502210.0,503309.0,A,60,化工,3
2026-03-04,1007373.0,1007373.0,0,A,63,电力,0
2026-03-05,1007373.0,1007373.0,0,B,50,智能电网,0
2026-03-06,1007373.0,840059.0,167314.0,S,83,化工,1
2026-03-09,1012745.0,676825.0,335920.0,B,46,智能电网,2
2026-03-10,1023455.0,676825.0,346630.0,A,60,智能电网,2
2026-03-11,1019919.0,1019919.0,0,S,85,电力,0
2026-03-12,1019919.0,682809.0,337110.0,B,56,化工,2
2026-03-13,1030595.0,682809.0,347786.0,A,74,化工,2
2026-03-16,1027059.0,682809.0,344250.0,A,65,化工,2
2026-03-17,1023523.0,1023523.0,0,B,46,电力,0
2026-03-18,1023523.0,1023523.0,0,C,32,电力,0
2026-03-19,1023523.0,1023523.0,0,D,12,电力,0
2026-03-20,1023523.0,1023523.0,0,D,16,电力,0
2026-03-23,1023523.0,1023523.0,0,C,30,电力,0
2026-03-24,1023523.0,1023523.0,0,D,26,电力,0
2026-03-25,1023523.0,1023523.0,0,A,70,电力,0
2026-03-26,1023523.0,1023523.0,0,D,23,电力,0
2026-03-27,1023523.0,1023523.0,0,D,16,电力,0
2026-03-30,1023523.0,1023523.0,0,D,17,锂电池,0
2026-03-31,1023523.0,1023523.0,0,D,0,医药,0
2026-04-01,1023523.0,854611.0,168912.0,B,56,医药,1
2026-04-02,1028895.0,854611.0,174284.0,D,0,医药,1
2026-04-03,1027127.0,854611.0,172516.0,D,0,医药,1
2026-04-07,1025359.0,1025359.0,0,D,29,通信,0
2026-04-08,1025359.0,689337.0,336022.0,A,65,通信,2
2026-04-09,1036035.0,693774.0,342261.0,A,71,通信,3
2026-04-10,1039605.0,348184.0,691421.0,A,62,通信,5
2026-04-13,1047059.0,348184.0,698875.0,A,66,通信,5
2026-04-14,1039883.0,516229.0,523654.0,A,60,通信,3
2026-04-15,1034475.0,340005.0,694470.0,A,64,通信,4
2026-04-16,1041860.0,348249.0,693611.0,A,74,通信,4
2026-04-17,1048896.0,175349.0,873547.0,A,70,通信,5
2026-04-20,1047215.0,175349.0,871866.0,A,73,通信,5
2026-04-21,1038219.0,520624.0,517595.0,C,42,通信,3
2026-04-22,1032863.0,513638.0,519225.0,B,45,通信,3
2026-04-23,1042068.0,1042068.0,0,D,22,芯片,0
2026-04-24,1042068.0,1042068.0,0,D,28,芯片,0
2026-04-27,1042068.0,1042068.0,0,D,27,芯片,0
2026-04-28,1042068.0,1042068.0,0,D,23,芯片,0
2026-04-29,1042068.0,696373.0,345695.0,A,70,芯片,2
2026-04-30,1053093.0,696373.0,356720.0,C,40,芯片,2
2026-05-06,1049453.0,696373.0,353080.0,B,47,芯片,2
2026-05-07,1045813.0,1045813.0,0,B,51,芯片,0
2026-05-08,1045813.0,872038.0,173775.0,S,91,芯片,1
2026-05-11,1051308.0,698998.0,352310.0,S,94,芯片,2
2026-05-12,1055018.0,353618.0,701400.0,B,49,芯片,4
2026-05-13,1062403.0,180683.0,881720.0,S,96,芯片,5
2026-05-14,1060653.0,354493.0,706160.0,D,15,芯片,4
2026-05-15,1053373.0,527603.0,525770.0,D,0,芯片,3
2026-05-18,1047913.0,873088.0,174825.0,D,7,芯片,1
2026-05-19,1046093.0,701448.0,344645.0,A,64,芯片,2
2026-05-20,1057153.0,701448.0,355705.0,D,22,芯片,2
2026-05-21,1053513.0,1053513.0,0,D,0,机器人,0
2026-05-22,1053513.0,880473.0,173040.0,B,56,芯片,1
2026-05-25,1059043.0,880473.0,178570.0,C,37,芯片,1
2026-05-27,1057223.0,880473.0,176750.0,D,3,芯片,1
2026-05-28,1055403.0,880473.0,174930.0,C,41,芯片,1
2026-05-29,1053583.0,1053583.0,0,D,0,通信,0
2026-06-01,1053583.0,1053583.0,0,D,16,电力,0
2026-06-02,1053583.0,1053583.0,0,D,22,通信,0
2026-06-03,1053583.0,1053583.0,0,D,7,通信,0
2026-06-04,1053583.0,1053583.0,0,C,33,通信,0
