代码,名称,收盘价,涨幅%,量比,标签,板块
688291.SH,金橙子,63.78,20.0,2.89,首次★,其他
300835.SZ,龙磁科技,234.31,20.0,1.96,首次★,其他
688179.SH,阿拉丁,26.91,18.13,3.78,首次★,其他
300966.SZ,共同药业,31.0,14.39,4.86,首次★,医药
688711.SH,宏微科技,43.95,13.8,1.69,首次★,其他
688268.SH,华特气体,249.09,13.71,1.38,首次★,其他
688105.SH,诺唯赞,17.08,11.13,3.92,首次★,其他
301687.SZ,新广益,86.56,11.0,1.35,首次★,次新股
300005.SZ,探路者,19.26,10.82,1.15,首次★,服装鞋类
688653.SH,康希通信,16.65,10.48,3.25,首次★,通信
600322.SH,津投城开,2.93,10.15,2.34,首次★,房地产
603669.SH,灵康药业,5.56,10.1,2.04,首次★,其它行业
000783.SZ,长江证券,9.46,10.0,1.86,首次★,金融行业
600707.SH,彩虹股份,13.64,10.0,1.47,首次★,电子器件
603938.SH,三孚股份,65.12,10.0,1.14,首次★,其他
603757.SH,大元泵业,67.84,10.0,0.46,首次★,其他
600397.SH,江钨装备,24.44,9.99,1.89,首次★,煤炭行业
600172.SH,黄河旋风,16.95,9.99,1.42,首次★,其它行业
000691.SZ,亚太实业,12.77,9.99,0.79,首次★,房地产
600851.SH,海欣股份,9.72,9.95,2.7,首次★,纺织行业
688313.SH,仕佳光子,199.98,9.55,1.22,首次★,其他
301055.SZ,张小泉,43.59,8.46,1.33,首次★,其他
688147.SH,微导纳米,118.3,8.42,0.97,首次★,其他
301512.SZ,智信精密,59.98,7.59,2.01,首次★,其他
000672.SZ,上峰材料,20.1,7.14,1.36,首次★,水泥行业
300440.SZ,运达科技,20.25,7.03,1.78,首次★,电子信息
002668.SZ,TCL智家,10.5,6.6,2.31,首次★,家电行业
688699.SH,明微电子,75.6,5.65,1.62,首次★,电子
300420.SZ,五洋自控,7.81,5.4,1.44,首次★,机械行业
300716.SZ,*ST泉为,22.23,5.36,0.96,首次★,其他
603339.SH,四方科技,14.56,5.28,4.07,首次★,其他
002774.SZ,快意电梯,13.68,5.23,1.08,首次★,其他
002768.SZ,国恩股份,55.65,5.1,1.36,首次★,其他
301548.SZ,崇德科技,97.75,5.04,3.22,首次★,其他
600483.SH,福能股份,11.98,4.81,1.52,首次★,电力行业
300689.SZ,澄天伟业,63.8,4.68,1.03,首次★,其他
688131.SH,皓元医药,90.07,4.61,1.5,首次★,医药
301218.SZ,华是科技,45.45,4.6,1.03,首次★,其他
688045.SH,必易微,80.21,4.44,0.91,首次★,其他
600961.SH,株冶集团,33.1,4.42,1.99,首次★,有色金属
603950.SH,长源东谷,75.56,4.39,1.28,首次★,其他
688347.SH,华虹宏力,292.08,4.31,0.97,首次★,其他
300604.SZ,长川科技,279.4,4.06,1.82,首次★,其他
688237.SH,超卓航科,58.25,4.0,2.01,首次★,其他
300537.SZ,广信材料,32.31,3.92,1.38,首次★,其他
688669.SH,聚石化学,69.79,3.65,0.82,首次★,化工
603588.SH,高能环境,18.24,3.58,2.71,首次★,环保行业
688072.SH,拓荆科技,770.0,2.94,0.99,首次★,其他
688199.SH,久日新材,33.2,2.85,1.38,首次★,其他
000776.SZ,广发证券,23.32,2.73,2.39,首次★,金融行业
003018.SZ,金富科技,67.37,2.56,1.46,首次★,其他
003004.SZ,声迅股份,73.39,2.5,1.34,首次★,其他
001309.SZ,德明利,755.01,2.43,1.2,首次★,其他
603290.SH,斯达半导,138.8,2.37,1.27,首次★,其他
002587.SZ,奥拓电子,7.15,2.29,1.59,首次★,电子器件
300826.SZ,测绘股份,15.5,2.18,1.04,首次★,其他
301328.SZ,维峰电子,65.69,2.15,1.15,首次★,电子
603386.SH,骏亚科技,18.41,2.11,2.43,首次★,其他
605100.SH,华丰股份,41.53,2.01,1.2,首次★,其他
300145.SZ,南方泵业,5.79,1.94,1.37,首次★,机械行业
002520.SZ,日发精机,6.87,1.93,0.94,首次★,机械行业
002718.SZ,友邦吊顶,117.02,1.76,0.81,首次★,家具行业
603005.SH,晶方科技,47.3,1.65,1.56,首次★,电子器件
