行业名称,行业代码,latest_date,RPS5_chg,RPS20_chg,RPS50_chg,RPS120_chg,RPS5,RPS20,RPS50,RPS120,RPS综合
煤炭,801950.SI,2026-08-07 00:00:00,1.1690094925201011,8.814266832110484,0.29586810249715434,9.123339735439707,41.9,93.5,90.3,93.5,92.6
医药生物,801150.SI,2026-08-07 00:00:00,6.2747430416171035,6.208913443442232,8.211956456059276,-3.5291540373206143,77.4,87.1,100.0,77.4,89.0
石油石化,801960.SI,2026-08-07 00:00:00,0.9553384988411961,10.402629828985832,-0.867116059860662,-8.001143120020625,35.5,96.8,87.1,58.1,86.1
有色金属,801050.SI,2026-08-07 00:00:00,10.946796804955582,10.791731049261433,-2.328955260694343,-7.34775487631082,96.8,100.0,74.2,64.5,85.2
银行,801780.SI,2026-08-07 00:00:00,-3.6962675831006764,3.7355097058003217,2.548363772556317,-1.2940325298098077,3.2,71.0,93.5,83.9,80.3
食品饮料,801120.SI,2026-08-07 00:00:00,-2.759583540620336,6.919697911985323,-1.3846128080522768,-18.10049364771936,6.5,90.3,83.9,32.3,76.8
交通运输,801170.SI,2026-08-07 00:00:00,-1.2212975988936114,4.567713013539576,-3.077067053483684,-11.189716676956852,19.4,77.4,67.7,51.6,69.4
美容护理,801980.SI,2026-08-07 00:00:00,-1.3103722184308109,5.758705647505935,-2.186917856826054,-23.495204993831443,16.1,83.9,77.4,9.7,67.1
农林牧渔,801010.SI,2026-08-07 00:00:00,0.06332204848897849,2.9596508037900593,-1.9721130883599058,-17.358267420477304,32.3,64.5,80.6,35.5,63.5
非银金融,801790.SI,2026-08-07 00:00:00,-1.606499706843123,0.77032614476642,4.270024616549883,-13.781596484875768,12.9,48.4,96.8,45.2,62.3
家用电器,801110.SI,2026-08-07 00:00:00,-2.1431284063732736,1.4727951532811367,-3.000016956912499,-7.653190811564759,9.7,54.8,71.0,61.3,61.0
钢铁,801040.SI,2026-08-07 00:00:00,-0.5532410216307793,5.008992933784495,-7.601084019893179,-19.94037389331702,25.8,80.6,48.4,19.4,58.7
传媒,801760.SI,2026-08-07 00:00:00,2.6145599673726316,3.344628790212556,-4.702062901589443,-25.325150252806306,54.8,67.7,64.5,6.5,54.5
公用事业,801160.SI,2026-08-07 00:00:00,-0.7065291109143002,2.0505145762433896,-11.11130952168371,-0.23369168731010026,22.6,58.1,25.8,87.1,54.2
商贸零售,801200.SI,2026-08-07 00:00:00,-0.3908647121588227,4.517161966969674,-6.9382821902100655,-26.632380068165993,29.0,74.2,51.6,3.2,53.2
基础化工,801030.SI,2026-08-07 00:00:00,6.76616963805976,0.6080364363657997,-6.239377919737654,-7.140289443189795,80.6,45.2,54.8,71.0,53.2
纺织服饰,801130.SI,2026-08-07 00:00:00,2.9521492295214946,0.7753579083860318,-4.756902761104442,-15.391195192126117,58.1,51.6,61.3,38.7,51.9
计算机,801750.SI,2026-08-07 00:00:00,4.9428566261901175,0.16332043166646937,-6.146736504612161,-14.480524025832874,71.0,41.9,58.1,41.9,46.8
社会服务,801210.SI,2026-08-07 00:00:00,2.269557749986273,2.750588298630441,-9.008630369516302,-22.965707257281597,51.6,61.3,41.9,12.9,45.8
环保,801970.SI,2026-08-07 00:00:00,4.927384191718831,-0.8355107562973196,-10.16111828439904,-7.158569543083404,67.7,32.3,35.5,67.7,40.3
建筑材料,801710.SI,2026-08-07 00:00:00,9.131849284792338,-8.258581198283533,-10.985207395004515,-0.0314215328201084,87.1,16.1,29.0,90.3,34.8
建筑装饰,801720.SI,2026-08-07 00:00:00,1.8388255782939122,-2.1890367334227445,-8.517105621693744,-13.146356584998141,45.2,22.6,45.2,48.4,34.5
房地产,801180.SI,2026-08-07 00:00:00,2.0864992511123948,-1.282369794006799,-9.303929329376981,-19.389578549353416,48.4,29.0,38.7,25.8,31.3
电子,801080.SI,2026-08-07 00:00:00,12.615357979836507,-17.20083459703574,-10.263559350838648,30.04567916795242,100.0,3.2,32.3,100.0,31.3
轻工制造,801140.SI,2026-08-07 00:00:00,3.9199584880376115,0.032490992236100524,-12.266927526369498,-19.61232093030505,61.3,38.7,22.6,22.6,30.6
电力设备,801730.SI,2026-08-07 00:00:00,4.23793451102441,-0.1626883248560418,-19.174677464993383,-10.199419010278255,64.5,35.5,3.2,54.8,29.7
综合,801230.SI,2026-08-07 00:00:00,8.312909025903025,-5.520338266767,-13.90224664259867,-5.1933826947716755,83.9,19.4,16.1,74.2,29.4
机械设备,801890.SI,2026-08-07 00:00:00,9.704982166578269,-8.659331042976603,-12.285097360281672,-1.778767191917785,93.5,12.9,19.4,80.6,28.4
通信,801770.SI,2026-08-07 00:00:00,9.694089356166957,-14.653432656200838,-18.120208419409632,28.832832521922548,90.3,6.5,6.5,96.8,24.5
汽车,801880.SI,2026-08-07 00:00:00,1.0158153108036139,-1.7896187386260975,-14.240798673077338,-18.619087169997872,38.7,25.8,9.7,29.0,21.6
国防军工,801740.SI,2026-08-07 00:00:00,6.175443931302316,-9.196853294613538,-13.979449383070886,-20.220584735193604,74.2,9.7,12.9,16.1,11.9
