date,equity
2020-01-02,1000000.0
2020-01-03,1000000.0
2020-01-06,998772.7000000001
2020-01-07,1004514.2
2020-01-08,987326.5
2020-01-09,1004276.4999999999
2020-01-10,995162.3999999998
2020-01-13,995473.9999999998
2020-01-14,985297.4999999999
2020-01-15,973860.8999999997
2020-01-16,961409.5999999996
2020-01-17,952867.5999999999
2020-01-20,959136.3999999999
2020-01-21,954169.7999999999
2020-01-22,948127.2
2020-01-23,896523.3999999999
2020-02-03,852019.2
2020-02-04,871162.4999999999
2020-02-05,891825.1999999998
2020-02-06,909951.5999999999
2020-02-07,908831.5999999996
2020-02-10,887958.6999999996
2020-02-11,870398.0999999995
2020-02-12,887170.0999999995
2020-02-13,863999.9999999997
2020-02-14,864762.9999999997
2020-02-17,906973.3999999997
2020-02-18,921087.1999999996
2020-02-19,903716.2999999995
2020-02-20,928917.3999999994
2020-02-21,971158.9999999994
2020-02-24,1013483.8999999993
2020-02-25,1008615.9999999992
2020-02-26,954866.6999999991
2020-02-27,956609.4999999992
2020-02-28,893130.3999999993
2020-03-02,911171.5999999994
2020-03-03,930789.5999999994
2020-03-04,945026.4999999995
2020-03-05,966576.0999999995
2020-03-06,971249.9999999995
2020-03-09,931738.3999999994
2020-03-10,968548.7999999995
2020-03-11,960729.6999999995
2020-03-12,945578.1999999995
2020-03-13,934289.2999999996
2020-03-16,906028.2999999995
2020-03-17,909452.8999999994
2020-03-18,857950.5999999993
2020-03-19,854937.7999999992
2020-03-20,854937.7999999992
2020-03-23,854937.7999999992
2020-03-24,854519.7999999991
2020-03-25,859412.1999999991
2020-03-26,855031.1999999991
2020-03-27,858162.5999999992
2020-03-30,830996.7999999992
2020-03-31,832074.7999999993
2020-04-01,807730.4999999994
2020-04-02,808282.9999999994
2020-04-03,808282.9999999994
2020-04-07,808082.8999999994
2020-04-08,808045.0999999994
2020-04-09,807220.9999999994
2020-04-10,770434.4999999995
2020-04-13,780196.0999999995
2020-04-14,778488.9999999995
2020-04-15,777504.1999999995
2020-04-16,776427.0999999995
2020-04-17,771439.3999999996
2020-04-20,770294.2999999996
2020-04-21,762861.5999999996
2020-04-22,753696.4999999995
2020-04-23,750740.8999999996
2020-04-24,708852.4999999997
2020-04-27,703902.1999999997
2020-04-28,695113.2999999997
2020-04-29,683739.2999999997
2020-04-30,683739.2999999997
2020-05-06,683739.2999999997
2020-05-07,683739.2999999997
2020-05-08,682987.6999999996
2020-05-11,686806.9999999997
2020-05-12,692404.1999999997
2020-05-13,703222.7999999997
2020-05-14,689707.7999999998
2020-05-15,679887.4999999998
2020-05-18,693503.5999999999
2020-05-19,703585.0999999999
2020-05-20,684079.5999999996
2020-05-21,684307.1999999997
2020-05-22,664267.1999999997
2020-05-25,664267.1999999997
2020-05-26,664267.1999999997
2020-05-27,664267.1999999997
2020-05-28,663529.3999999998
2020-05-29,682516.8999999997
2020-06-01,700526.0999999997
2020-06-02,679493.1999999998
2020-06-03,664879.7999999999
2020-06-04,668453.2
2020-06-05,662756.2999999998
2020-06-08,644104.3999999998
2020-06-09,644118.5999999999
2020-06-10,658507.0999999999
2020-06-11,641961.2
2020-06-12,638018.3999999999
2020-06-15,643767.6
2020-06-16,645144.7999999999
2020-06-17,644648.8
2020-06-18,638832.9
2020-06-19,648126.3
2020-06-22,653138.1000000001
2020-06-23,653695.0000000002
2020-06-24,645576.2000000001
2020-06-29,642019.9
2020-06-30,650171.2000000001
2020-07-01,643144.8
2020-07-02,638632.7000000001
2020-07-03,648267.7
2020-07-06,657435.0
2020-07-07,672027.9
2020-07-08,680606.2999999999
2020-07-09,710232.7
2020-07-10,704242.0
2020-07-13,734147.2
2020-07-14,734450.7
2020-07-15,712187.1
2020-07-16,677555.7000000001
2020-07-17,677473.6
2020-07-20,695677.0
2020-07-21,694902.8
2020-07-22,695856.2000000001
2020-07-23,687578.0000000001
2020-07-24,655343.7000000001
2020-07-27,641253.4
2020-07-28,648156.9
2020-07-29,678075.5
