code,signal_date,entry_date,entry_price,exit_date,exit_price,ret_pct,hold_days,exit_reason
000419,2020-01-02,2020-01-06,3.875,2020-01-08,3.821,-1.379,2,跌破5日线止损
000488,2020-01-02,2020-01-06,4.896,2020-01-07,4.889,-0.146,1,跌破5日线止损
000528,2020-01-02,2020-01-06,5.507,2020-01-08,5.428,-1.437,2,跌破5日线止损
000581,2020-01-02,2020-01-06,12.416,2020-01-09,12.841,3.428,3,持有3日卖出
000596,2020-01-02,2020-01-06,112.16,2020-01-09,122.304,9.044,3,持有3日卖出
000778,2020-01-02,2020-01-06,3.424,2020-01-08,3.412,-0.349,2,跌破5日线止损
000888,2020-01-02,2020-01-06,5.827,2020-01-08,5.837,0.164,2,跌破5日线止损
000955,2020-01-02,2020-01-06,8.34,2020-01-07,7.922,-5.015,1,跌破5日线止损
001965,2020-01-02,2020-01-06,6.268,2020-01-07,6.266,-0.031,1,跌破5日线止损
002078,2020-01-02,2020-01-06,8.631,2020-01-07,8.67,0.46,1,跌破5日线止损
002276,2020-01-02,2020-01-06,8.08,2020-01-09,8.92,10.394,3,持有3日卖出
002712,2020-01-02,2020-01-06,8.441,2020-01-08,8.132,-3.659,2,跌破5日线止损
002879,2020-01-02,2020-01-06,14.959,2020-01-08,14.767,-1.283,2,跌破5日线止损
002918,2020-01-02,2020-01-06,18.583,2020-01-09,18.818,1.261,3,持有3日卖出
300005,2020-01-02,2020-01-06,4.466,2020-01-08,4.28,-4.148,2,跌破5日线止损
300747,2020-01-02,2020-01-06,39.73,2020-01-07,39.611,-0.299,1,跌破5日线止损
300763,2020-01-02,2020-01-06,8.01,2020-01-07,8.012,0.024,1,跌破5日线止损
300773,2020-01-02,2020-01-06,25.822,2020-01-08,25.542,-1.084,2,跌破5日线止损
600060,2020-01-02,2020-01-06,7.349,2020-01-08,7.154,-2.657,2,跌破5日线止损
600308,2020-01-02,2020-01-06,2.824,2020-01-08,2.764,-2.116,2,跌破5日线止损
600320,2020-01-02,2020-01-06,3.414,2020-01-08,3.352,-1.811,2,跌破5日线止损
600449,2020-01-02,2020-01-06,8.541,2020-01-08,8.251,-3.387,2,跌破5日线止损
600597,2020-01-02,2020-01-06,11.625,2020-01-08,11.604,-0.178,2,跌破5日线止损
600720,2020-01-02,2020-01-06,10.173,2020-01-08,9.828,-3.39,2,跌破5日线止损
600731,2020-01-02,2020-01-06,5.257,2020-01-08,5.168,-1.678,2,跌破5日线止损
600808,2020-01-02,2020-01-06,2.503,2020-01-07,2.494,-0.349,1,跌破5日线止损
600887,2020-01-02,2020-01-06,23.69,2020-01-09,25.004,5.547,3,持有3日卖出
601186,2020-01-02,2020-01-06,8.33,2020-01-08,8.162,-2.026,2,跌破5日线止损
601881,2020-01-02,2020-01-06,10.123,2020-01-07,10.077,-0.448,1,跌破5日线止损
601992,2020-01-02,2020-01-06,3.284,2020-01-08,3.163,-3.691,2,跌破5日线止损
