code,name,buy_date,sell_date,buy_price,sell_price,pnl_pct,hold_days,exit_reason,pnl_amount,type
000520,凤凰航运,2024-04-08,2024-04-09,2.6333,2.4545,-6.79,1,止损-破位,-10854.38,loss
000803,山高环能,2024-04-08,2024-04-15,5.2065,4.43,-14.91,4,止损-MA60,-29817.05,loss
002066,瑞泰科技,2024-04-10,2024-04-16,9.4618,8.0519,-14.9,3,止损-破位,-23405.37,loss
002348,高乐股份,2024-04-10,2024-04-16,3.6045,2.9733,-17.51,3,止损-破位,-17673.66,loss
002455,百川股份,2024-04-10,2024-05-27,6.0576,11.3744,87.77,29,止盈-破MA13,110589.44,win
002187,广百股份,2024-04-11,2024-04-17,5.7272,4.8291,-15.68,3,止损-破位,-12662.3,loss
000856,冀东装备,2024-04-15,2024-04-17,9.2916,6.9344,-25.37,1,止损-破位,-24986.65,loss
000948,南天信息,2024-04-16,2024-04-17,13.8573,12.6116,-8.99,1,止损-破位,-10962.4,loss
002116,中国海诚,2024-04-17,2024-05-24,8.5707,7.8523,-8.38,23,止损-MA60,-9913.92,loss
000520,凤凰航运,2024-04-17,2024-06-13,2.4631,2.8935,17.47,36,止盈-回落,25953.3,win
000913,钱江摩托,2024-04-18,2024-05-23,11.995,17.1513,42.99,21,止盈-破MA13,40735.29,win
000990,诚志股份,2024-04-18,2024-06-07,7.3792,7.4632,1.14,32,止损-MA60,864.84,win
002413,雷科防务,2024-05-23,2024-05-28,4.7059,4.2604,-9.47,2,止损-MA60,-8330.44,loss
002201,九鼎新材,2024-05-27,2024-05-29,5.7572,5.3679,-6.76,1,止损-破位,-9420.75,loss
000958,电投产融,2024-05-27,2024-05-31,4.4856,3.9511,-11.92,3,止损-破位,-13309.2,loss
000863,三湘印象,2024-05-28,2024-06-07,3.8648,3.1828,-17.65,7,止损-MA60,-18550.39,loss
002382,蓝帆医疗,2024-05-29,2024-05-31,5.637,5.1384,-8.85,1,止损-MA60,-9723.09,loss
000037,深南电A,2024-06-03,2024-06-24,10.0025,8.8501,-11.52,13,止损-MA60,-14751.19,loss
000564,供销大集,2024-06-05,2024-06-21,2.1327,1.786,-16.26,10,止损-MA60,-16641.04,loss
000901,航天科技,2024-06-13,2024-07-09,9.1014,7.9122,-13.07,17,止损-MA60,-19502.84,loss
001896,豫能控股,2024-06-17,2024-06-21,4.7159,4.2903,-9.02,3,止损-破位,-10766.63,loss
002037,保利联合,2024-06-20,2024-07-09,7.3592,6.3657,-13.5,12,止损-MA60,-12915.97,loss
000957,中通客车,2024-06-21,2024-08-20,10.5532,10.2569,-2.81,41,止损-MA60,-3229.61,loss
002134,天津普林,2024-06-25,2024-07-26,9.3517,8.1217,-13.15,22,止损-MA60,-15128.78,loss
002225,濮耐股份,2024-06-26,2024-07-04,4.0951,3.8114,-6.93,5,止损-MA60,-6383.33,loss
000636,风华高科,2024-07-12,2024-08-28,14.438,12.9708,-10.16,32,止损-破位,-13498.81,loss
001267,汇绿生态,2024-07-17,2024-09-12,5.567,4.9987,-10.21,40,止损-MA60,-10909.78,loss
002331,皖通科技,2024-07-29,2024-08-13,7.6796,6.5552,-14.64,10,止损-MA60,-15403.78,loss
000421,南京公用,2024-07-30,2024-08-19,5.3967,4.6595,-13.66,13,止损-破位,-11500.95,loss
002075,沙钢股份,2024-08-14,2024-11-19,4.766,6.4455,35.24,61,止盈-破MA13,30063.44,win
002405,四维图新,2024-08-27,2024-10-17,7.3091,9.1294,24.9,29,止盈-回落,26212.28,win
002426,胜利精密,2024-08-30,2024-11-18,1.8323,2.5044,36.68,48,止盈-破MA13,39651.99,win
000006,深振业Ａ,2024-09-04,2024-11-07,4.2854,8.5807,100.23,38,止盈-破MA13,86765.26,win
000546,金圆股份,2024-09-12,2024-10-11,4.8561,5.5375,14.03,13,止盈-回落,12402.49,win
000801,四川九洲,2024-10-15,2024-11-18,10.1327,11.963,18.06,23,止盈-回落,16290.43,win
001337,四川黄金,2024-10-17,2024-11-15,25.4418,22.2299,-12.62,20,止损-破位,-12526.3,loss
000695,滨海能源,2024-11-13,2024-11-28,11.1639,12.8011,14.67,10,止盈-回落,16699.52,win
000949,新乡化纤,2024-11-19,2025-01-06,4.0651,3.7515,-7.71,32,止损-MA60,-14077.56,loss
002121,科陆电子,2024-11-21,2025-01-02,4.5857,4.3801,-4.48,28,止损-MA60,-6538.02,loss
000031,大悦城,2024-11-29,2024-12-26,3.5645,3.1728,-10.99,18,止损-MA60,-15703.24,loss
002152,广电运通,2024-11-29,2025-01-02,12.2153,11.085,-9.25,22,止损-破位,-10511.2,loss
002158,汉钟精机,2024-12-04,2025-01-02,19.3742,17.6303,-9.0,19,止损-MA60,-8196.46,loss
002187,广百股份,2024-12-27,2025-01-24,7.0188,8.002,14.01,18,止盈-回落,13764.81,win
000952,广济药业,2025-01-02,2025-01-03,6.1076,5.8368,-4.43,1,止损-MA60,-6390.45,loss
002184,海得控制,2025-01-02,2025-01-16,11.5544,14.3477,24.17,9,止盈-破MA13,27653.03,win
000905,厦门港务,2025-01-02,2025-04-09,6.9086,6.7548,-2.23,61,止损-MA60,-2061.6,loss
002418,康盛股份,2025-01-03,2025-01-06,2.6433,2.5642,-2.99,1,止损-MA60,-3036.67,loss
002269,美邦服饰,2025-01-06,2025-02-05,2.5932,2.0354,-21.51,15,止损-破位,-23205.54,loss
002213,大为股份,2025-01-06,2025-03-14,14.2478,16.1636,13.45,42,止盈-回落,18008.32,win
002164,宁波东力,2025-01-16,2025-01-21,6.3379,5.767,-9.01,2,止损-破位,-10333.5,loss
002397,梦洁股份,2025-01-21,2025-04-09,3.3041,3.3325,0.86,48,止损-MA60,967.19,win
002398,垒知集团,2025-01-24,2025-03-31,4.8961,4.7693,-2.59,39,止损-MA60,-2905.16,loss
002394,联发股份,2025-02-05,2025-04-08,7.6896,6.3956,-16.83,42,止损-破位,-17986.83,loss
002278,神开股份,2025-03-17,2025-03-31,7.6195,8.3113,9.08,9,止盈-回落,10514.65,win
002471,中超控股,2025-04-07,2025-04-11,3.0138,3.0332,0.64,3,止损-破位,900.19,win
002084,海鸥住工,2025-04-08,2025-04-18,4.1852,3.5121,-16.08,7,止损-破位,-20867.39,loss
000403,派林生物,2025-04-08,2025-04-24,18.2027,16.4729,-9.5,11,止损-破位,-9860.18,loss
000859,国风新材,2025-04-09,2025-06-12,5.8373,6.8446,17.26,41,止盈-回落,17123.84,win
000862,银星能源,2025-04-09,2025-06-16,5.627,5.3879,-4.25,43,止损-MA60,-5261.73,loss
002286,保龄宝,2025-04-11,2025-06-23,8.4105,10.3167,22.67,46,止盈-回落,24209.32,win
002492,恒基达鑫,2025-04-18,2025-10-20,5.5569,7.7326,39.15,120,止盈-破MA13,42207.29,win
002054,德美化工,2025-04-24,2025-08-26,6.3479,6.7049,5.62,83,止损-MA60,5889.87,win
000014,沙河股份,2025-06-12,2025-08-28,12.2153,14.4275,18.11,54,止盈-回落,19467.62,win
002490,山东墨龙,2025-06-16,2025-06-30,4.796,6.0564,26.28,9,止盈-回落,28736.24,win
000995,皇台酒业,2025-06-23,2025-09-19,14.6883,14.2678,-2.86,63,止损-MA60,-3237.84,loss
000026,飞亚达,2025-06-30,2025-08-28,15.7497,17.8597,13.4,42,止盈-回落,15825.61,win
002191,劲嘉股份,2025-08-26,2025-11-20,4.4656,4.4101,-1.24,55,止损-MA60,-1460.06,loss
002053,云南能投,2025-08-28,2025-10-31,12.4856,11.963,-4.19,39,止损-MA60,-6113.87,loss
000599,青岛双星,2025-08-29,2025-11-03,5.567,6.3756,14.53,39,止盈-回落,16982.26,win
002453,华软科技,2025-09-22,2025-09-30,7.3392,7.4831,1.96,5,止盈-回落,2260.33,win
000973,佛塑科技,2025-09-30,2025-11-25,7.9599,12.412,55.93,33,止盈-破MA13,64555.25,win
002490,山东墨龙,2025-10-20,2025-10-29,6.7785,7.6827,13.34,6,止盈-回落,16366.39,win
000421,南京公用,2025-10-29,2025-12-15,7.4293,6.7149,-9.62,32,止损-破位,-12073.54,loss
000777,中核科技,2025-11-04,2025-11-24,23.7196,20.1147,-15.2,13,止损-破位,-23432.2,loss
001255,博菲电气,2025-11-05,2025-11-21,38.4981,32.3072,-16.08,11,止损-MA60,-19810.84,loss
000017,深中华A,2025-11-20,2026-02-02,7.8498,7.3534,-6.32,49,止损-MA60,-7793.09,loss
000536,华映科技,2025-11-21,2025-12-15,5.9074,5.5076,-6.77,15,止损-MA60,-8075.75,loss
002285,世联行,2025-11-24,2026-01-27,2.8035,2.7438,-2.13,43,止损-MA60,-2596.29,loss
002356,鹏飞绿能,2025-11-25,2026-02-03,4.035,3.8912,-3.56,47,止损-MA60,-4760.07,loss
000890,法尔胜,2025-12-15,2025-12-30,6.4681,5.1384,-20.56,10,止损-破位,-31113.99,loss
000862,银星能源,2025-12-15,2026-03-17,6.2879,7.2836,15.84,57,止盈-回落,19217.64,win
001217,华尔泰,2025-12-30,2026-01-05,15.0388,13.4397,-10.63,1,止损-破位,-12792.56,loss
000809,和展能源,2026-01-05,2026-02-03,3.6045,3.3724,-6.44,20,止损-MA60,-7636.15,loss
002030,达安基因,2026-01-27,2026-02-02,7.5094,6.4155,-14.57,3,止损-破位,-17282.61,loss
002137,实益达,2026-02-02,2026-03-04,10.2428,8.2514,-19.44,15,止损-破位,-26883.73,loss
002126,银轮股份,2026-02-04,2026-03-13,41.1814,46.9242,13.95,20,止盈-回落,13782.76,win
002012,凯恩股份,2026-02-04,2026-03-24,7.2691,6.4455,-11.33,27,止损-MA60,-17954.56,loss
000039,中集集团,2026-02-04,2026-03-24,10.5632,10.6759,1.07,27,止损-MA60,1352.98,win
000045,深纺织Ａ,2026-03-06,2026-04-07,12.8661,12.0927,-6.01,20,止损-MA60,-6263.9,loss
000990,诚志股份,2026-03-13,2026-05-08,10.0125,11.544,15.3,35,止盈-回落,16080.53,win
002467,二六三,2026-03-17,2026-03-24,7.3892,6.5153,-11.83,4,止损-破位,-13370.84,loss
000065,北方国际,2026-03-25,2026-04-28,14.3579,12.6515,-11.89,22,止损-破位,-19453.45,loss
000688,国城矿业,2026-03-25,2026-05-12,36.7559,44.7891,21.86,29,止盈-回落,22492.84,win
002192,融捷股份,2026-03-25,2026-05-15,62.9286,92.282,46.65,32,止盈-破MA13,58706.87,win
002222,福晶科技,2026-04-07,2026-04-29,75.4642,85.1581,12.85,15,止盈-回落,12601.99,win
002136,安 纳 达,2026-04-30,2026-06-01,15.3492,13.33,-13.16,18,止损-MA60,-17769.04,loss
002079,苏州固锝,2026-04-30,2026-07-15,11.8848,11.4841,-3.37,49,止损-MA60,-3686.66,loss
000823,超声电子,2026-05-08,2026-07-03,16.831,23.1379,37.47,38,止盈-破MA13,41625.11,win
000672,上峰材料,2026-05-12,2026-07-07,15.6495,20.424,30.51,38,止盈-破MA13,34853.31,win
002395,双象股份,2026-05-18,2026-05-20,20.836,17.311,-16.92,1,止损-破位,-21502.7,loss
000600,建投能源,2026-05-20,2026-06-25,10.8035,9.2691,-14.2,24,止损-MA60,-17645.38,loss
000727,冠捷科技,2026-06-02,2026-06-12,2.9136,2.6241,-9.94,7,止损-破位,-12219.11,loss
002301,齐心集团,2026-06-16,2026-06-29,8.0701,6.8745,-14.81,7,止损-破位,-17814.01,loss
000925,众合科技,2026-06-25,2026-07-09,9.2516,8.2714,-10.59,9,止损-MA60,-12448.47,loss
001270,铖昌科技,2026-06-29,2026-07-15,144.17,127.7122,-11.42,11,止损-MA60,-11520.5,loss
001313,粤海饲料,2026-07-03,2026-07-06,8.3905,7.8723,-6.18,1,止损-MA60,-7721.47,loss
002072,凯瑞德,2026-07-06,2026-07-08,10.6133,7.8423,-26.11,1,止损-破位,-32142.76,loss
002129,TCL中环,2026-07-08,2026-07-17,11.2941,9.1194,-19.25,6,止损-破位,-28270.53,loss
000810,创维数字,2026-07-13,2026-07-14,12.4856,10.9852,-12.02,1,止损-MA60,-16653.88,loss
000620,盈新发展,2026-07-13,2026-07-16,3.5044,3.0032,-14.3,2,止损-破位,-15886.28,loss
002167,东方锆业,2026-07-22,2026-07-27,17.3917,15.2656,-12.22,2,止损-MA60,-18922.49,loss
