判定日,s1,登顶,源①,A占比,B占比,源②,宽松闸门,严格闸门,判决,当日涨停,当日新高,当日新低,当日跌停,次日日期,次日s1,同名延续,次日池,池变化,次日新增,次日涨停,次日新高,次日新低
2026-01-05,商业航天,1,不过,19.2%,0.0%,不过,过,过,轮动,120,344,55,3,2026-01-06,商业航天,√,78,12,22,120,427,7
2026-01-06,商业航天,2,不过,18.3%,0.0%,不过,过,过,轮动,120,427,7,1,2026-01-07,商业航天,√,75,-3,15,100,479,6
2026-01-07,商业航天,3,不过,15.7%,0.0%,不过,过,过,轮动,100,479,6,2,2026-01-08,商业航天,√,115,40,41,92,537,14
2026-01-08,商业航天,4,不过,21.4%,0.0%,不过,过,过,轮动,92,537,14,4,2026-01-09,商业航天,√,112,-3,15,95,614,9
2026-01-09,商业航天,5,过,18.2%,0.0%,不过,过,过,轮动,95,614,9,3,2026-01-12,商业航天,√,150,38,36,197,767,6
2026-01-12,商业航天,6,过,19.6%,0.0%,不过,过,过,轮动,197,767,6,2,2026-01-13,人工智能,✗,79,-71,32,110,573,9
2026-01-13,人工智能,1,不过,13.8%,0.0%,不过,过,过,轮动,110,573,9,3,,,,,,,,,
2026-01-15,人工智能,3,不过,10.7%,0.0%,不过,过,否,轮动,55,496,34,41,2026-01-16,芯片,✗,76,23,31,80,478,59
2026-01-16,芯片,1,不过,15.9%,0.0%,不过,过,过,轮动,80,478,59,8,2026-01-19,芯片,√,67,-9,13,103,557,69
2026-01-19,芯片,2,不过,12.0%,0.0%,不过,过,过,轮动,103,557,69,5,2026-01-20,芯片,√,77,10,26,63,542,31
2026-01-20,芯片,3,不过,14.2%,0.0%,不过,过,否,轮动,63,542,31,16,2026-01-21,芯片,√,98,21,26,79,637,55
2026-01-21,芯片,4,不过,15.4%,0.0%,不过,过,过,轮动,79,637,55,3,2026-01-22,芯片,√,75,-23,12,70,654,43
2026-01-22,芯片,5,过,11.5%,0.0%,不过,过,过,轮动,70,654,43,7,2026-01-23,芯片,√,71,-4,18,75,761,40
2026-01-23,芯片,6,过,9.3%,0.0%,不过,过,过,轮动,75,761,40,5,2026-01-26,化工,✗,76,5,13,80,725,76
2026-01-26,化工,1,不过,10.5%,0.0%,不过,过,过,轮动,80,725,76,4,2026-01-27,芯片,✗,73,-3,31,60,746,139
2026-01-27,芯片,1,不过,9.8%,0.0%,不过,过,过,轮动,60,746,139,8,2026-01-28,化工,✗,77,4,15,55,706,113
2026-01-28,化工,1,不过,10.9%,0.0%,不过,过,过,轮动,55,706,113,10,2026-01-29,化工,√,75,-2,11,50,527,161
2026-01-29,化工,2,不过,14.2%,0.0%,不过,过,过,轮动,50,527,161,12,2026-01-30,化工,√,63,-12,4,48,482,112
2026-01-30,化工,3,不过,13.1%,0.0%,不过,过,否,轮动,48,482,112,52,2026-02-02,机器人,✗,15,-48,4,36,221,227
2026-02-02,机器人,1,不过,6.8%,0.0%,不过,否,否,轮动,36,221,227,98,2026-02-03,通信,✗,28,13,5,70,353,181
2026-02-03,通信,1,不过,7.9%,0.0%,不过,过,否,轮动,70,353,181,16,2026-02-04,光伏,✗,29,1,12,68,396,43
2026-02-04,光伏,1,不过,7.3%,0.0%,不过,过,过,轮动,68,396,43,13,2026-02-05,基础建设,✗,20,-9,2,44,323,54
2026-02-05,基础建设,1,不过,6.2%,0.0%,不过,过,过,轮动,44,323,54,3,2026-02-06,化工,✗,22,2,10,55,321,91
2026-02-06,化工,1,不过,6.9%,0.0%,不过,过,过,轮动,55,321,91,3,2026-02-09,化工,√,36,14,15,83,424,13
