判定日,s1主线,登顶天数,源①,A占比,B占比,源②,判定模式,当日涨停,当日跌停,次日日期,次日质量,次日涨停,次日跌停,次日新高,次日新低
2026-01-05,商业航天,1,不过,19.2%,0.0%,不过,轮动,120,3,2026-01-06,0.974,120,1,427,7
2026-01-06,商业航天,2,不过,18.3%,0.0%,不过,轮动,120,1,2026-01-07,0.969,100,2,479,6
2026-01-07,商业航天,3,不过,15.7%,0.0%,不过,轮动,100,2,2026-01-08,0.936,92,4,537,14
2026-01-08,商业航天,4,不过,21.4%,0.0%,不过,轮动,92,4,2026-01-09,0.958,95,3,614,9
2026-01-09,商业航天,5,过,18.2%,0.0%,不过,轮动,95,3,2026-01-12,0.983,197,2,767,6
2026-01-12,商业航天,6,过,19.6%,0.0%,不过,轮动,197,2,2026-01-13,0.960,110,3,573,9
2026-01-13,人工智能,1,不过,13.8%,0.0%,不过,轮动,110,3,,,,,,
2026-01-15,人工智能,3,不过,10.7%,0.0%,不过,轮动,55,41,2026-01-16,0.795,80,8,478,59
2026-01-16,芯片,1,不过,15.9%,0.0%,不过,轮动,80,8,2026-01-19,0.831,103,5,557,69
2026-01-19,芯片,2,不过,12.0%,0.0%,不过,轮动,103,5,2026-01-20,0.773,63,16,542,31
2026-01-20,芯片,3,不过,14.2%,0.0%,不过,轮动,63,16,2026-01-21,0.875,79,3,637,55
2026-01-21,芯片,4,不过,15.4%,0.0%,不过,轮动,79,3,2026-01-22,0.853,70,7,654,43
2026-01-22,芯片,5,过,11.5%,0.0%,不过,轮动,70,7,2026-01-23,0.890,75,5,761,40
2026-01-23,芯片,6,过,9.3%,0.0%,不过,轮动,75,5,2026-01-26,0.848,80,4,725,76
2026-01-26,化工,1,不过,10.5%,0.0%,不过,轮动,80,4,2026-01-27,0.717,60,8,746,139
2026-01-27,芯片,1,不过,9.8%,0.0%,不过,轮动,60,8,2026-01-28,0.711,55,10,706,113
2026-01-28,化工,1,不过,10.9%,0.0%,不过,轮动,55,10,2026-01-29,0.564,50,12,527,161
2026-01-29,化工,2,不过,14.2%,0.0%,不过,轮动,50,12,2026-01-30,0.358,48,52,482,112
2026-01-30,化工,3,不过,13.1%,0.0%,不过,轮动,48,52,2026-02-02,-0.193,36,98,221,227
2026-02-02,机器人,1,不过,6.8%,0.0%,不过,轮动,36,98,2026-02-03,0.444,70,16,353,181
2026-02-03,通信,1,不过,7.9%,0.0%,不过,轮动,70,16,2026-02-04,0.754,68,13,396,43
2026-02-04,光伏,1,不过,7.3%,0.0%,不过,轮动,68,13,2026-02-05,0.777,44,3,323,54
2026-02-05,基础建设,1,不过,6.2%,0.0%,不过,轮动,44,3,2026-02-06,0.694,55,3,321,91
2026-02-06,化工,1,不过,6.9%,0.0%,不过,轮动,55,3,2026-02-09,0.936,83,3,424,13
2026-02-09,化工,2,不过,8.5%,0.0%,不过,轮动,83,3,2026-02-10,0.951,60,1,455,14
2026-02-10,化工,3,不过,8.4%,0.0%,不过,轮动,60,1,2026-02-11,0.859,65,5,427,32
2026-02-11,化工,4,不过,10.1%,0.0%,不过,轮动,65,5,2026-02-12,0.693,50,12,448,65
2026-02-12,化工,5,过,8.9%,0.0%,不过,轮动,50,12,2026-02-13,0.947,70,5,382,0
2026-02-13,化工,6,过,7.9%,0.0%,不过,轮动,70,5,,,,,,
2026-02-24,化工,1,不过,10.3%,0.0%,不过,轮动,109,14,2026-02-25,0.948,100,7,572,0
2026-02-25,化工,2,不过,13.3%,0.0%,不过,轮动,100,7,2026-02-26,0.963,61,3,657,0
2026-02-26,化工,3,不过,10.7%,0.0%,不过,轮动,61,3,2026-02-27,0.947,70,5,739,0
2026-02-27,化工,4,不过,9.9%,0.0%,不过,轮动,70,5,2026-03-02,0.932,75,7,712,0
2026-03-02,化工,5,过,11.0%,0.0%,不过,轮动,75,7,2026-03-03,0.918,70,8,410,0
2026-03-03,化工,6,过,11.2%,0.0%,不过,轮动,70,8,2026-03-04,0.929,72,7,363,0
2026-03-04,电力,1,不过,9.4%,0.0%,不过,轮动,72,7,2026-03-05,0.897,68,10,382,0
2026-03-05,智能电网,1,不过,9.9%,0.0%,不过,轮动,68,10,2026-03-06,0.979,74,2,436,0
