代码,名称,收盘价,涨幅%,量比,标签,板块
688548.SH,广钢气体,46.49,20.01,1.24,首次★,其他
301528.SZ,多浦乐,74.4,20.0,2.06,首次★,其他
300706.SZ,阿石创,91.88,19.06,1.27,首次★,其他
301328.SZ,维峰电子,70.8,18.69,2.82,首次★,电子
688629.SH,华丰科技,171.0,18.08,1.91,首次★,其他
688549.SH,中巨芯,37.8,17.76,1.46,首次★,其他
688652.SH,京仪装备,196.01,15.06,1.47,首次★,机械
688578.SH,艾力斯,107.01,14.49,2.19,首次★,其他
688545.SH,XD兴福电,134.66,13.83,1.17,首次★,其他
688711.SH,宏微科技,44.7,13.42,1.39,首次★,其他
688530.SH,欧莱新材,99.69,13.3,1.01,首次★,其他
688728.SH,格科微,17.53,13.1,1.97,首次★,其他
688008.SH,澜起科技,296.06,13.08,1.38,首次★,其他
688727.SH,恒坤新材,71.02,12.44,1.73,首次★,次新股
300721.SZ,怡达股份,41.29,11.72,1.16,首次★,其他
300558.SZ,贝达药业,64.44,11.33,1.26,首次★,医药
300801.SZ,泰和科技,33.59,10.97,2.04,首次★,其他
300373.SZ,扬杰科技,149.95,10.45,1.05,首次★,电子器件
300852.SZ,四会富仕,62.03,10.08,1.79,首次★,其他
000920.SZ,沃顿科技,15.7,10.02,0.74,首次★,交通运输
603163.SH,XD圣晖集,149.14,10.0,1.94,首次★,其他
603726.SH,朗迪集团,32.35,10.0,1.83,首次★,其他
003043.SZ,华亚智能,90.35,10.0,0.5,首次★,人工智能
603928.SH,兴业股份,13.45,9.98,1.36,首次★,其他
300489.SZ,光智科技,309.67,9.33,1.69,首次★,其他
002138.SZ,顺络电子,74.74,8.6,1.42,首次★,电子器件
688082.SH,盛美上海,447.95,8.2,1.24,首次★,其他
688521.SH,芯原股份,362.0,7.74,0.98,首次★,其他
688610.SH,埃科光电,243.6,7.72,1.29,首次★,电子
688266.SH,泽璟制药,114.41,7.13,1.81,首次★,医药
688419.SH,耐科装备,76.34,7.07,1.36,首次★,机械
600360.SH,华微电子,14.24,7.07,1.08,首次★,电子器件
001223.SZ,欧克科技,53.6,7.03,1.25,首次★,其他
001331.SZ,胜通能源,51.25,6.59,1.68,首次★,电力
301310.SZ,鑫宏业,58.01,6.05,0.89,首次★,其他
300151.SZ,昌红科技,25.86,6.03,1.49,首次★,机械行业
688686.SH,奥普特,162.89,5.64,2.03,首次★,其他
002559.SZ,亚威股份,13.0,5.61,2.76,首次★,机械行业
688448.SH,磁谷科技,62.13,5.48,1.46,首次★,其他
603257.SH,中国瑞林,74.94,5.45,1.39,首次★,其他
002522.SZ,浙江众成,8.31,5.32,1.24,首次★,塑料制品
605358.SH,立昂微,78.89,4.67,1.38,首次★,其他
