日期,成交额,涨停,跌停,连板,炸板,百日新高,百日新低,新增,主线板块
2026-07-17,26718,32,192,8,10,23,1260,10,医药
2026-07-16,24036,40,33,9,25,43,361,12,医药
2026-07-15,25712,71,31,15,21,54,171,29,医药
2026-07-14,27040,80,22,5,21,36,1542,12,医药
2026-07-13,28178,27,172,9,13,37,1051,16,医药
2026-07-10,33885,88,4,9,91,59,251,31,商业航天
2026-07-09,29137,74,12,6,17,71,1463,25,芯片
2026-07-08,25826,46,40,8,14,57,1061,22,芯片
2026-07-07,25881,33,29,5,23,79,694,36,芯片
2026-07-06,30991,64,45,8,40,114,202,46,芯片
2026-07-03,32053,104,19,16,52,143,56,58,机器人
2026-07-02,34505,91,40,19,40,156,58,35,芯片
2026-07-01,34500,149,6,42,73,349,11,120,芯片
2026-06-30,0,138,5,0,25,0,0,0,
2026-06-29,0,105,37,0,38,0,0,0,
2026-06-26,0,60,30,0,34,0,0,0,
2026-06-25,0,85,17,0,31,0,0,0,
2026-06-24,0,98,10,0,23,0,0,0,
2026-06-22,0,132,3,0,26,0,0,0,
2026-06-20,33317,91,12,12,41,267,1371,151,芯片
2026-06-17,31140,85,2,19,27,329,882,100,芯片
2026-06-16,30863,116,7,29,37,274,526,89,通信
2026-06-15,30507,144,3,11,43,210,131,118,芯片
2026-06-12,32361,88,15,10,62,103,458,36,通信
2026-06-11,25749,69,32,11,30,142,2006,36,芯片
2026-06-10,26441,70,22,15,19,159,1671,46,芯片
2026-06-09,26667,127,4,10,24,182,1067,88,通信
2026-06-08,28233,55,35,14,10,120,1986,32,机器人
2026-06-05,31006,71,7,6,51,171,1277,43,机器人
2026-06-04,27791,78,7,10,19,213,1668,61,通信
2026-06-03,31531,66,10,11,50,217,878,77,通信
2026-06-02,28128,64,13,16,21,187,698,82,通信
2026-06-01,28965,118,21,11,41,143,767,56,电力
2026-05-29,33190,49,50,8,38,171,889,36,通信
2026-05-28,29682,101,8,9,21,336,1403,108,芯片
2026-05-27,32599,47,22,8,22,274,1490,68,芯片
2026-05-25,32269,103,15,23,33,477,785,152,芯片
2026-05-22,29247,115,5,11,21,414,1098,224,芯片
2026-05-21,34816,33,25,6,66,224,784,61,机器人
2026-05-20,29764,61,22,10,19,540,531,112,芯片
2026-05-19,29090,90,8,19,12,535,236,134,芯片
2026-05-18,29171,81,18,9,34,481,731,125,芯片
2026-05-15,33702,54,15,6,38,507,514,82,芯片
2026-05-14,33881,52,17,16,31,650,307,87,芯片
2026-05-13,32654,112,2,17,24,777,173,137,芯片
2026-05-12,32697,57,7,17,23,736,125,80,芯片
2026-05-11,35640,92,3,19,34,788,62,190,芯片
2026-05-08,30757,126,1,18,38,661,91,116,芯片
2026-05-07,31683,127,35,19,31,643,116,149,芯片
2026-05-06,32268,125,41,17,30,543,141,163,芯片
2026-04-30,27400,79,34,15,13,362,155,69,芯片
2026-04-29,26089,119,5,11,23,399,275,92,芯片
2026-04-28,25505,54,27,11,13,362,348,69,芯片
2026-04-27,26048,72,22,9,18,388,352,81,芯片
2026-04-24,26419,59,13,8,20,372,334,73,芯片
2026-04-23,28045,59,20,9,22,409,192,64,芯片
2026-04-22,25600,63,10,9,16,479,108,114,通信
2026-04-21,24085,65,12,10,18,405,68,74,通信
2026-04-20,26000,72,4,17,20,416,49,84,通信
2026-04-17,24300,70,5,16,18,390,36,80,通信
2026-04-16,23500,80,5,18,22,356,26,96,通信
2026-04-15,24200,60,8,14,15,289,10,63,通信
2026-04-14,24000,71,7,16,20,285,30,65,通信
2026-04-13,22200,75,5,15,18,252,47,63,通信
2026-04-10,23400,77,7,20,25,224,11,51,通信
2026-04-09,24500,135,8,30,30,212,16,73,通信
2026-04-08,24500,123,12,28,35,179,7,70,通信
2026-04-07,16100,101,12,15,22,137,592,40,通信
2026-04-03,16700,38,30,6,12,123,771,37,医药
2026-04-02,18600,32,10,8,15,134,295,34,医药
2026-04-01,20300,65,9,12,18,151,36,43,医药
2026-03-31,18500,45,20,4,8,134,145,46,医药
2026-03-30,19300,58,6,12,44,156,266,39,锂电池
2026-03-27,20000,60,10,6,13,161,331,45,电力
2026-03-26,19600,50,14,5,10,156,141,45,电力
2026-03-25,23000,72,5,9,15,164,9,60,电力
2026-03-24,22500,68,7,7,14,123,490,64,电力
2026-03-23,21500,70,8,8,16,71,2466,15,电力
2026-03-20,22000,65,10,7,15,134,1244,39,电力
2026-03-19,21000,58,13,6,13,206,748,43,电力
2026-03-18,20500,55,16,5,12,263,0,64,电力
2026-03-17,22000,60,12,6,14,253,0,50,电力
2026-03-13,23000,80,4,10,18,419,0,79,化工
2026-03-12,23500,52,5,8,21,511,0,88,化工
2026-03-11,24000,67,1,8,16,539,0,164,电力
2026-03-10,23500,68,8,8,15,435,0,132,智能电网
2026-03-09,24000,65,12,7,14,387,0,76,智能电网
2026-03-06,25000,74,2,8,26,436,0,133,化工
2026-03-05,24500,68,10,9,15,382,0,115,智能电网
2026-03-04,25000,72,7,11,17,363,0,79,电力
2026-03-03,23500,70,8,10,16,410,0,71,化工
2026-03-02,24000,75,7,12,18,712,0,123,化工
2026-02-27,25000,70,5,10,16,739,0,146,化工
2026-02-26,26000,61,3,9,23,657,0,147,化工
2026-02-25,20000,100,7,8,25,572,0,159,化工
2026-02-24,26000,109,14,7,42,474,0,153,化工
2026-02-20,22500,68,7,10,13,0,0,0,
2026-02-19,23000,72,6,11,15,0,0,0,
2026-02-18,21500,65,8,10,13,0,0,0,
2026-02-17,22000,70,7,11,14,0,0,0,
2026-02-16,21000,75,4,12,16,0,0,0,
2026-02-13,18000,70,5,10,14,382,0,70,化工
2026-02-12,13400,50,12,6,10,448,65,83,化工
2026-02-11,19842,65,5,9,15,427,32,83,化工
2026-02-10,22500,60,1,8,7,455,14,106,化工
2026-02-09,8900,83,3,0,25,424,13,144,化工
2026-02-06,22000,55,3,8,18,321,91,77,化工
2026-02-05,21000,44,3,10,10,323,54,73,基础建设
2026-02-04,23000,68,13,10,20,396,43,115,光伏
2026-02-03,22000,70,16,12,18,353,181,157,通信
2026-02-02,18500,36,98,9,18,221,227,52,机器人
2026-01-30,18500,48,52,9,21,482,112,132,化工
2026-01-29,20000,50,12,4,10,527,161,80,化工
2026-01-28,21000,55,10,5,12,706,113,115,化工
2026-01-27,21500,60,8,6,12,746,139,140,芯片
2026-01-26,22000,80,4,9,14,725,76,165,化工
2026-01-23,23000,75,5,8,17,761,40,182,芯片
2026-01-22,23500,70,7,7,16,654,43,140,芯片
2026-01-21,24000,79,3,8,18,637,55,168,芯片
2026-01-20,25000,63,16,10,15,542,31,126,芯片
