代码,名称,收盘价,涨幅%,量比,标签,板块
688056.SH,莱伯泰科,48.16,20.01,2.88,持续,其他
688017.SH,绿的谐波,393.0,20.0,1.73,持续,其他
300334.SZ,津膜科技,9.01,19.97,4.31,持续,机械行业
300319.SZ,麦捷科技,22.28,14.43,1.71,持续,电子器件
301528.SZ,多浦乐,91.75,13.62,2.11,持续,其他
688777.SH,中控技术,100.0,13.1,1.47,持续,其他
300328.SZ,宜安科技,22.12,12.86,2.28,持续,其他
300835.SZ,龙磁科技,211.0,12.54,1.41,持续,其他
301458.SZ,钧崴电子,63.52,11.24,1.41,持续,电子
688322.SH,奥比中光,126.06,10.05,1.61,持续,其他
603135.SH,中重科技,14.03,10.04,4.39,持续,其他
600063.SH,皖维高新,8.22,10.04,1.6,持续,化纤行业
002138.SZ,顺络电子,55.61,10.01,1.39,持续,电子器件
603078.SH,江化微,41.56,10.01,1.22,持续,其他
003036.SZ,泰坦股份,82.35,10.01,1.05,持续,其他
603124.SH,江南新材,168.0,10.0,1.02,持续,其他
000668.SZ,荣丰控股,20.59,9.99,1.5,持续,房地产
600552.SH,凯盛科技,21.71,9.98,1.47,持续,玻璃行业
000608.SZ,阳光股份,5.52,9.96,1.4,持续,房地产
002421.SZ,达实智能,5.21,9.92,1.39,持续,电子信息
688668.SH,鼎通科技,395.97,9.26,1.64,持续,其他
300907.SZ,康平科技,53.01,8.89,1.21,持续,其他
603773.SH,沃格光电,132.4,8.17,1.07,持续,电子
301418.SZ,协昌科技,47.45,8.16,3.55,持续,其他
603683.SH,晶华新材,33.86,8.11,1.69,持续,其他
688310.SH,迈得医疗,18.86,7.83,2.11,持续,医药
300930.SZ,屹通新材,39.86,7.79,2.18,持续,其他
300752.SZ,隆利科技,15.38,7.78,1.44,持续,其他
002636.SZ,金安国纪,58.16,7.7,1.53,持续,电子器件
603045.SH,福达合金,83.41,7.61,1.21,持续,其他
600869.SH,远东股份,28.51,7.58,1.26,持续,电力行业
300420.SZ,五洋自控,6.07,7.24,2.39,持续,机械行业
600378.SH,昊华科技,46.6,6.98,1.26,持续,化工行业
300322.SZ,硕贝德,33.75,6.8,2.19,持续,电子信息
301072.SZ,中捷精工,28.37,6.61,2.61,持续,其他
688610.SH,埃科光电,200.7,6.59,1.18,持续,电子
601137.SH,博威合金,24.78,6.35,1.84,持续,有色金属
603311.SH,金海高科,40.92,6.2,1.05,持续,其它行业
002962.SZ,五方光电,21.65,6.13,1.62,持续,电子
688059.SH,华锐精密,165.48,6.01,1.48,持续,其他
605018.SH,长华集团,17.62,5.45,1.87,持续,其他
688146.SH,中船特气,231.11,5.44,1.2,持续,军工
002106.SZ,莱宝高科,13.52,5.38,2.05,持续,电子器件
